gene	pc_outlier	pd_outlier	sample_id	expression_in_log2tpm1	pc_high	is_top_5	SS18_fusion_partner	cluster	histology	num_total_samples	Is_a_cancer_gene?	Is a TH druggable gene?	n_ss_samples_with_upoutlier	pct_ss_samples_with_upoutlier
CRLF1	pc_up	NA	TCGA-DX-AB3B-01	9.06080129717	6.78265810013	top5	SSX1	2	monophasic	36	FALSE	FALSE	35	97.22222222222221
CRLF1	pc_up	NA	TCGA-MJ-A850-01	9.19486158512	6.78265810013	top5	SSX1	2	monophasic	36	FALSE	FALSE	35	97.22222222222221
CRLF1	pc_up	NA	TCGA-X6-A8C7-01	9.30707723479	6.78265810013	top5	SSX1	1	biphasic	36	FALSE	FALSE	35	97.22222222222221
CRLF1	pc_up	NA	TCGA-DX-A7EO-01	9.31077168813	6.78265810013	top5	SSX2	2	biphasic	36	FALSE	FALSE	35	97.22222222222221
CRLF1	pc_up	NA	TCGA-DX-A7ER-01	9.3650871797	6.78265810013	top5	SSX2	2	monophasic	36	FALSE	FALSE	35	97.22222222222221
CRLF1	pc_up	NA	TCGA-DX-AB3C-01	10.5055914599	6.78265810013	top5	SSX2	2	monophasic	36	FALSE	FALSE	35	97.22222222222221
CRLF1	pc_up	NA	TCGA-FX-A8OO-01	8.7785860144	6.78265810013	top5	SSX2	3	poorly differentiated	36	FALSE	FALSE	35	97.22222222222221
CRLF1	pc_up	NA	TCGA-WK-A8XT-01	9.34491825561	6.78265810013	top5	SSX2	1	monophasic	36	FALSE	FALSE	35	97.22222222222221
CRLF1	pc_up	pd_up	TCGA-Z4-AAPF-01	8.85801012513	6.78265810013	top5	SSX2	1	poorly differentiated	36	FALSE	FALSE	35	97.22222222222221
CRLF1	pc_up	NA	TH03_0112_S01	9.96965992392	6.78265810013	top5	SSX1	1	NA	36	FALSE	FALSE	35	97.22222222222221
CRLF1	pc_up	NA	TH03_0112_S02	9.7691601301	6.78265810013	top5	SSX1	1	NA	36	FALSE	FALSE	35	97.22222222222221
CRLF1	pc_up	NA	THR39_1360_S01	8.93256910641	6.78224086761	top5	SSX1	1	NA	36	FALSE	FALSE	35	97.22222222222221
CRLF1	pc_up	NA	THR39_1361_S01	8.14598307855	6.78224086761	top5	SSX1	1	NA	36	FALSE	FALSE	35	97.22222222222221
CRLF1	pc_up	NA	THR39_1362_S01	10.2605432316	6.78224086761	top5	SSX1	1	NA	36	FALSE	FALSE	35	97.22222222222221
